station_id,lat,lng,region,sub_region_cluster,cluster_id
SF-M30-4,37.76881026147057,-122.39100637019348,0,10,0_10
SF-M4,37.76299225952893,-122.49544009762724,0,8,0_8
SF-M7,37.763475695133586,-122.48356795306093,0,18,0_18
SF-M8,37.763523320485604,-122.47958304832373,0,18,0_18
SF-M9,37.7635565818385,-122.47655770010873,0,18,0_18
SF-M9-2,37.763711971907064,-122.47529245712252,0,18,0_18
SF-N20-1,37.76429963518048,-122.43191751276701,0,2,0_2
SF-N20-2,37.76329999826401,-122.43071205605892,0,2,0_2
SF-N21,37.7630679128816,-122.42657981588017,0,2,0_2
SF-N22-1A,37.76472645328478,-122.41992045851421,0,2,0_2
SF-N22-1B,37.76487256583491,-122.42011735902018,0,2,0_2
SF-N22-2,37.76332720856144,-122.42201892164066,0,2,0_2
SF-N23,37.76373506150806,-122.41551902279117,0,11,0_11
SF-N24-2,37.76369463993442,-122.41305374882145,0,11,0_11
SF-N25,37.764525414287725,-122.41037151629126,0,11,0_11
SF-N26,37.76348916083633,-122.40743799086752,0,11,0_11
SF-N27,37.76437952332465,-122.40256985843865,0,11,0_11
SF-N28,37.76501266246609,-122.3990208963825,0,10,0_10
SF-N29,37.76479435149955,-122.39483521470856,0,10,0_10
SF-N30,37.764751604240146,-122.39089197448571,0,10,0_10
SF-N4,37.758858693143274,-122.49515606835479,0,8,0_8
SF-O12,37.75877759698433,-122.46375864351413,0,15,0_15
SF-O18,37.75923875546153,-122.43677664322801,0,2,0_2
SF-O19,37.76109248620323,-122.43244597654626,0,2,0_2
SF-O2,37.75656055900957,-122.5024091490376,0,8,0_8
SF-O21,37.761424240267324,-122.42654382102343,0,2,0_2
SF-O22,37.75918626721415,-122.42143610223346,0,2,0_2
SF-O23,37.76029261512152,-122.41899501414508,0,2,0_2
SF-O24,37.760684847520764,-122.4148234851878,0,11,0_11
SF-O25-1,37.76045087511331,-122.41077037053194,0,11,0_11
